trip_no,vcaseid,no,season,vq3,vq4_1,vq4_2,vq4_3,vq4_4,vq4_5,vq4_6,vq4_7,vq4_8,vq4_9,vq4_10,vq4_a1_1,vq4_a1_2,vq4_a1_3,vq4_a1_4,vq4_a1_5,vq4_a1_6,vq4_a1_7,vq4_a1_8,vq4_a1_9,vq4_a1_10,vq4_a2_1,vq4_a2_2,vq4_a2_3,vq4_a2_4,vq4_a2_5,vq4_a2_6,vq4_a2_7,vq4_a2_8,vq4_a2_9,vq4_a2_10,vq4_a3_1,vq4_a3_2,vq4_a3_3,vq4_a3_4,vq4_a3_5,vq4_a3_6,vq4_a3_7,vq4_a3_8,vq4_a3_9,vq4_a3_10,vq4_a4_1,vq4_a4_2,vq4_a4_3,vq4_a4_4,vq4_a4_5,vq4_a4_6,vq4_a4_7,vq4_a4_8,vq4_a4_9,vq4_a4_10,vq4_a5_1,vq4_a5_2,vq4_a5_3,vq4_a5_4,vq4_a5_5,vq4_a5_6,vq4_a5_7,vq4_a5_8,vq4_a5_9,vq4_a5_10,vq4_a6_1,vq4_a6_2,vq4_a6_3,vq4_a6_4,vq4_a6_5,vq4_a6_6,vq4_a6_7,vq4_a6_8,vq4_a6_9,vq4_a6_10,vq4_a7_1,vq4_a7_2,vq4_a7_3,vq4_a7_4,vq4_a7_5,vq4_a7_6,vq4_a7_7,vq4_a7_8,vq4_a7_9,vq4_a7_10,vq4_a8_1,vq4_a8_2,vq4_a8_3,vq4_a8_4,vq4_a8_5,vq4_a8_6,vq4_a8_7,vq4_a8_8,vq4_a8_9,vq4_a8_10,vq4_a9_1,vq4_a9_2,vq4_a9_3,vq4_a9_4,vq4_a9_5,vq4_a9_6,vq4_a9_7,vq4_a9_8,vq4_a9_9,vq4_a9_10,vq4_a10_1,vq4_a10_2,vq4_a10_3,vq4_a10_4,vq4_a10_5,vq4_a10_6,vq4_a10_7,vq4_a10_8,vq4_a10_9,vq4_a10_10,vq4_a11_1,vq4_a11_2,vq4_a11_3,vq4_a11_4,vq4_a11_5,vq4_a11_6,vq4_a11_7,vq4_a11_8,vq4_a11_9,vq4_a11_10,vq4_a12_1,vq4_a12_2,vq4_a12_3,vq4_a12_4,vq4_a12_5,vq4_a12_6,vq4_a12_7,vq4_a12_8,vq4_a12_9,vq4_a12_10,vq4_a13_1,vq4_a13_2,vq4_a13_3,vq4_a13_4,vq4_a13_5,vq4_a13_6,vq4_a13_7,vq4_a13_8,vq4_a13_9,vq4_a13_10,vq4_a14_1,vq4_a14_2,vq4_a14_3,vq4_a14_4,vq4_a14_5,vq4_a14_6,vq4_a14_7,vq4_a14_8,vq4_a14_9,vq4_a14_10,vq4_a15_1,vq4_a15_2,vq4_a15_3,vq4_a15_4,vq4_a15_5,vq4_a15_6,vq4_a16_1,vq4_a16_2,vq4_a16_3,vq4_a16_4,vq4_a16_5,vq4_a16_6,vq4_a16_7,vq4_a16_8,vq4_a16_9,vq4_a16_10,vq4_a17_1,vq4_a17_2,vq4_a17_3,vq4_a17_4,vq4_a17_5,vq4_a17_6,vq4_a17_7,vq4_a17_8,vq4_a18_1,vq4_a18_2,vq4_a18_3,vq4_a18_4,vq4_a18_5,vq4_a18_6,vq4_a18_7,vq4_a18_8,vq4_a18_9,vq4_a18_10,vq4_a19_1,vq4_a19_2,vq4_a19_3,vq4_a19_4,vq4_a19_5,vq4_a19_6,vq4_a19_7,vq4_a19_8,vq4_a19_9,vq4_a19_10,vq4_a20_1,vq4_a20_2,vq4_a20_3,vq4_a20_4,vq4_a20_5,vq4_a20_6,vq4_a20_7,vq4_a20_8,vq4_a20_9,vq4_a20_10,vq4_a21_1,vq4_a21_2,vq4_a21_3,vq4_a21_4,vq4_a21_5,vq4_a21_6,vq4_a21_7,vq4_a21_8,vq4_a21_9,vq4_a21_10,vq4_a22_1,vq4_a22_2,vq4_a22_3,vq4_a22_4,vq4_a22_5,vq4_a22_6,vq4_a22_7,vq4_a22_8,vq4_a22_9,vq4_a22_10,vq5,vq5a,vq5b,vq6,vq6a,vq7,vq7a,vq7b,vq7c_1,vq7c_2,vq7c_3,vq7c_4,vq7c_5,vq7c_6,vq7c_7,vq7c_8,vq7c_9,vq7c_10,vq8,vq9,vq9_1_1,vq9_1_2,vq9_1_3,vq9_2,vq9_3_1,vq9_3_2,vq9_3_3,vq9_3_4,vq9_3_5,vq9_4_1,vq9_4_2,vq9_4_3,vq9_4_4,vq9_4_5,vq10_1,vq10_2,vq10_3,vq10_4,vq10_5,vq10_6,vq10_7,vq10a_1,vq10a_2,vq10b_1,vq10b_2,vq10c_1,vq10c_2,vq11,vq11a,vq11b,vq11c,vq12a,vq12a1,vq12a1_1,vq12a1_2,vq12a1_3,vq12a1_4,vq12a1_5,vq12a2,vq12a3,vq12a4,vq12a5,vq12a6,vq12a7,vq12a8,vq12a8_1_1,vq12a8_1_2,vq12a8_1_3,vq12a8_1_4,vq12a8_1_5,vq12a8_1_6,q12a,q12a1,q12a2,q12a3,q12a4,q12a5,q12a6,q12a7,vq13_1,vq13_2,vq13_3,vq14_1,vq14_2,vq14_3,vq14_4,vq14_5,vq14_6,vq15,vq15a_1,vq15a_2,vq15a_3,vq15a_4,vq15a_5,vq15a_6,vq16_1,vq16_2,vq16_3,vq16_4,vq16_5,vq16_6,vq16_7,vq16_8,vq16_9,vq16_10,vq16a,vb1,vb2,vb3,vb4,vb5,vb6,vb7,weight_q6
2079,96128643,2645,1,2,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1616, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , ,1,0,1, , , , , , , , , , , , ,1,8,4, , ,2, , , , , , , , , , ,1, , , , , , , , , , , , ,1,4,1,0,3,1, , , , , ,3, ,2,1,3,1,2,3, , , , , ,350,0,150,0,50,0,150,0,12, , ,8, , , , , ,2, , , , , , ,603, , , , , , , , , ,603,1,1,14,1,2,4,2,5.556745
1072,96113609,1322,1,2,19, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1920,1965, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2, ,1,0,1, , , , , , , , , , , , ,1,8,4, , ,2, , , , , , , , , , ,3,7, , , , , ,2, , , , , ,2, , , ,3,1, , , , , ,2, ,3,1,3,1,1, , , , , , ,350,0,50,0,150,0,150,0,8,7,5,8, , , , , ,2, , , , , , ,209,501,603, , , , , , , ,501,11,3,11,2,3,2,2,1.060673
3507,96111105,4520,1,2,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,324, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2, ,1,0,1, , , , , , , , , , , , ,1,8,4, , ,2, , , , , , , , , , ,1, , , , , , , , , , , , ,1,5,0,0,3,1, , , , , ,2, ,3,3,1,1,2,3, , , , , ,350,0,50,0,150,150,0,0,5,7,8,8, , , , , ,2, , , , , , ,501,601,603, , , , , , , ,501,4,6,3,1,7,3,1,1.861444
4616,96109937,5987,1,2,19, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1903, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, ,2,1,0,1, , , , , , , , , , , , ,1,8,4, , ,2, , , , , , , , , , ,3,7, , , , , ,2, , , , , ,1,2,0,0,4,1, , , , , ,3, ,3,2,1,1,2,1,4, , , , ,350,0,150,0,150,50,0,0,8, , ,8, , , , , ,2, , , , , , ,103,104, , , , , , , , ,103,3,5,12,1,2,1,2,2.744413
4163,96109098,5362,1,2,1, , , , , , , , , ,180, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , ,1,0,1, , , , , , , , , , , , ,1,8,4, , ,2, , , , , , , , , , ,1, , , , , , , , , , , , ,1,2,0,0,3,1, , , , , ,2, ,2,4,1,1,1, , , , , , ,350,0,50,0,50,250,0,0,1,7,8,3, , , , , ,1,3, , , , , ,604, , , , , , , , , ,604,5,6,3,1,7,1,2,1.653445
3762,96108100,4867,1,2,2, , , , , , , , , , , , , , , , , , , ,288, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2, ,5,4,6, , , , , , , , , , , , ,3,8,4, , ,2, , , , , , , , , , ,1, , , , , , , , , , , , ,1,2,0,0,3,1, , , , , ,5, ,1,1,1,1,1, , , , , , ,350,0,350,0,0,0,0,0, , , ,66, , , , , ,2, , , , , , ,701, , , , , , , , , ,701,8,3,11,2,1,3,2,.290081
2007,96106913,2522,1,2,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,788, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2, ,1,0,1, , , , , , , , , , , , ,3,8,4, , ,2, , , , , , , , , , ,1, , , , , , , , , , , , ,1,2,0,0,3,1, , , , , ,5, ,1,1,1,1,1, , , , , , ,350,0,350,0,0,0,0,0, , , ,66, , , , , ,2, , , , , , ,701, , , , , , , , , ,701,11,3,11,2,4,4,2,1.058528
4635,96106471,6022,1,2,1, , , , , , , , , ,101,180, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2, ,1,0,1, , , , , , , , , , , , ,1,8,4, , ,2, , , , , , , , , , ,1, , , , , , , , , , , , ,1,2,0,0,3,1, , , , , ,2, ,4,1,2,1,1, , , , , , ,350,0,50,0,250,0,50,0,1, , ,3, , , , , ,2, , , , , , ,104,603, , , , , , , , ,104,8,3,11,2,1,1,2,.869331
2902,96103477,3762,1,2,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,731,738, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2, ,1,0,1, , , , , , , , , , , , ,1,8,4, , ,2, , , , , , , , , , ,1, , , , , , , , , , , , ,1,5,3,0,3,1, , , , , ,2, ,4,1,2,1,1, , , , , , ,350,0,50,0,250,0,50,0,2,8, ,8, , , , , ,2, , , , , , ,202, , , , , , , , , ,202,7,4,6,2,7,10,1,1.11322
4550,96100062,5887,1,2,19, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1921,1965, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, ,2,1,0,1, , , , , , , , , , , , ,1,8,4, , ,2, , , , , , , , , , ,3,7, , , , , ,2, , , , , ,2, , , ,3,1, , , , , ,2, ,3,3,1,1,1, , , , , , ,350,0,50,0,150,150,0,0,8,7, ,5, , , , , ,2, , , , , , ,101,102,104,602, , , , , , ,102,11,3,13,2,2,1,2,1.05738
2150,96253912,2734,1,1,15, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1504,1506, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , ,1,0,1, , , , , , , , , , , , ,1,8,4, , ,2, , , , , , , , , , ,4, , , , , , , , , , , , ,2, , , ,3,1, , , , , ,2, ,4,2,1,1,1, , , , , , ,350,0,50,0,250,50,0,0,8, , ,8, , , , , ,2, , , , , , ,103,209,501,603, , , , , , ,501,8,6,3,1,8,19,2,.873456
2685,96237996,3476,1,1,8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,809, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , ,1,0,1, , , , , , , , , , , , ,1,8,4, , ,2, , , , , , , , , , ,4, , , , , , , , , , , , ,1,2,0,0,3,1, , , , , ,2, ,3,1,3,1,1, , , , , , ,350,0,50,0,150,0,150,0,8, , ,8, , , , , ,2, , , , , , ,101,102, , , , , , , , ,101,5,5,6,2,6,12,2,1.654929
3393,96169976,4398,1,1,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,365, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , ,1,0,1, , , , , , , , , , , , ,1,8,4, , ,2, , , , , , , , , , ,1, , , , , , , , , , , , ,1,2,2,0,3,1, , , , , ,2, ,4,1,2,1,2,1, , , , , ,350,0,50,0,250,0,50,0,8, , ,8, , , , , ,2, , , , , , ,101,501,603, , , , , , , ,603,6,6,5,2,8,3,1,1.481509
1121,96107439,1409,1,1,1, , , , , , , , , ,101, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, ,2,1,0,1, , , , , , , , , , , , ,1,8,4, , ,2, , , , , , , , , , ,7, , , , , , , , , , , , ,1,2,0,0,3,1, , , , , ,3, ,3,1,2,1,1, , , , , , ,350,0,150,0,150,0,50,0,8, , ,8, , , , , ,2, , , , , , ,101,501,603, , , , , , , ,801,2,3,14,1,1,2,2,1.865266
465,96241568,573,1,88,20, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2042, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, ,2,1,0,1, , , , , , , , , , , , ,1,8,4, , ,2, , , , , , , , , , ,3,7,16, , , , ,2, , , , , ,2, , , ,3,1, , , , , ,1, ,4,1,1,1,1, , , , , , ,370,0,120,0,250,0,0,0,8,5, ,5, , , , , ,2, , , , , , ,101,102,603, , , , , , , ,101,11,2,11,4,4,6,2,1.058288
5146,96123744,6707,2,4,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1665, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , ,1,0,1, , , , , , , , , , , , ,1,8,4, , ,2, , , , , , , , , , ,3, , , , , , ,2, , , , , ,2, , , ,3,1, , , , , ,1, ,3,3,1,1,1, , , , , , ,375,0,75,0,150,150,0,0,8, , ,8, , , , , ,2, , , , , , ,604, , , , , , , , , ,604,2,3,14,1,2,4,1,2.106331
2488,96234720,3198,1,2,20, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2002, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , ,1,0,1, , , , , , , , , , , , ,1,8,4, , ,2, , , , , , , , , , ,4,7,16, , , , , , , , , , ,1,2,0,0,3,1, , , , , ,88, ,4,2,1,1,1, , , , , , ,375,0,75,0,250,50,0,0,8, , ,3, , , , , ,2, , , , , , ,101,102,103, , , , , , , ,103,8,4,5,2,5,14,2,.871843
4738,96103619,6159,2,5,1, , , , , , , , , ,136, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, ,2,1,0,1, , , , , , , , , , , , ,1,8,4, , ,2, , , , , , , , , , ,3, , , , , , ,2, , , , , ,2, , , ,3,1, , , , , ,1, ,5,1,1,1,1, , , , , , ,380,0,30,0,350,0,0,0,8,5, ,8, , , , , ,2, , , , , , ,201,209,501,603, , , , , , ,603,11,1,13,2,3,1,1,.898748
4760,96104357,6187,2,88,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,317, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , ,1,0,1, , , , , , , , , , , , ,1,8,4, , ,2, , , , , , , , , , ,1, , , , , , , , , , , , ,1,5,0,0,3,1, , , , , ,2, ,5,1,1,1,1, , , , , , ,400,0,50,0,350,0,0,0,7, , ,5, , , , , ,2, , , , , , ,101,102,501, , , , , , , ,101,11,1,11,4,2,3,2,.993875
7233,97102028,9606,2,88,19, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1901,1923, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, ,2,1,0,1, , , , , , , , , , , , ,1,8,4, , ,2, , , , , , , , , , ,3, , , , , , ,2, , , , , ,2, , , ,3,1, , , , , ,2, ,5,1,1,1,1, , , , , , ,400,0,50,0,350,0,0,0,8,1, ,8, , , , , ,2, , , , , , ,102,104, , , , , , , , ,102,11,5,13,2,5,2,2,1.031518
2438,96236911,3132,1,88,11, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1127, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , ,1,0,1, , , , , , , , , , , , ,1,8,4, , ,2, , , , , , , , , , ,3,5, , , , , ,2, , , , , ,1,2,0,0,3,1, , , , , ,4, ,1,3,1,1,1, , , , , , ,400,0,250,0,0,150,0,0,7, , ,8, , , , , ,2, , , , , , ,602, , , , , , , , , ,602,10,3,11,2,6,14,2,.989638
1690,96176952,2136,1,88,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,702, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, ,2,1,0,1, , , , , , , , , , , , ,1,8,4, , ,2, , , , , , , , , , ,1, , , , , , , , , , , , ,1,2,0,0,3,1, , , , , ,4, ,3,1,1,1,1, , , , , , ,400,0,250,0,150,0,0,0,8,1, ,8, , , , , ,2, , , , , , ,101,102,104, , , , , , , ,102,10,5,13,2,7,4,1,.987247
4559,96102337,5901,1,88,1, , , , , , , , , ,180, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , ,1,0,1, , , , , , , , , , , , ,1,8,4, , ,2, , , , , , , , , , ,7, , , , , , , , , , , , ,1,2,0,0,3,1, , , , , ,2, ,5,1,1,1,1, , , , , , ,400,0,50,0,350,0,0,0,1, , ,5, , , , , ,2, , , , , , ,101,104,609, , , , , , , ,101,10,2,13,2,2,1,1,.986176
6886,96242257,9105,2,6,20, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2065, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , ,1,0,1, , , , , , , , , , , , ,1,8,4, , ,2, , , , , , , , , , ,4, , , , , , , , , , , , ,1,2,0,0,3,1, , , , , ,2, ,5,1,1,1,1, , , , , , ,400,0,50,0,350,0,0,0,5, , ,3, , , , , ,2, , , , , , ,101,102, , , , , , , , ,101,6,5,5,1,7,6,2,1.228704
6748,96235073,8894,2,6,18, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1888, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , ,1,0,1, , , , , , , , , , , , ,3,8,4, , ,2, , , , , , , , , , ,1, , , , , , , , , , , , ,2, , , ,3,1, , , , , ,4, ,3,1,1,1,1, , , , , , ,400,0,250,0,150,0,0,0, , , ,66, , , , , ,2, , , , , , ,701, , , , , , , , , ,701,6,3,5,2,5,20,2,1.259291
6647,96230033,8747,2,6,8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,888, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , ,1,0,1, , , , , , , , , , , , ,3,8,4, , ,2, , , , , , , , , , ,1, , , , , , , , , , , , ,1,2,0,0,3,1, , , , , ,3, ,4,1,1,1,1, , , , , , ,400,0,150,0,250,0,0,0, , , ,66, , , , , ,2, , , , , , ,701, , , , , , , , , ,701,6,2,11,2,2,11,2,1.183804
6640,96229895,8739,2,6,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,465, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , ,1,0,1, , , , , , , , , , , , ,1,8,4, , ,2, , , , , , , , , , ,1, , , , , , , , , , , , ,1,2,0,0,3,1, , , , , ,3, ,4,1,1,1,1, , , , , , ,400,0,150,0,250,0,0,0,6, , ,8, , , , , ,2, , , , , , ,204, , , , , , , , , ,204,8,4,1,2,10,9,1,1.071802
